8 0.000       0.000
16 0.001      0.000
32 0.001      0.001
64 0.003      0.002
128 0.006     0.003
256 0.015     0.007
512 0.030     0.013
1024 0.060    0.026
2048 0.118    0.052
4096 0.235    0.105
8192 0.501    0.209
16384 1.03    0.417
32768 2.08    0.854
65536 4.21    1.71
131072 8.57   3.39
262144 17.9   6.76
524288 36.6   13.7
1048576 72.9  27.2
2097152 146   59.6
4194304 280   120
8388608 529   239
16777216 1148 480
