8 0.002       0.002
16 0.004      0.004
32 0.008      0.007
64 0.016      0.013
128 0.033     0.026
256 0.069     0.051
512 0.138     0.102
1024 0.273    0.203
2048 0.544    0.406
4096 1.10     0.813
8192 2.26     1.63
16384 4.47    3.26
32768 9.00    6.54
65536 18.3    13.2
131072 36.6   26.2
262144 73.8   53.1
524288 147    105
1048576 291   212
2097152 574   426
4194304 1165  852
8388608 2293  1703
16777216 4671 3409
