8 0.002         0.002
16 0.004        0.003
32 0.008        0.006
64 0.016        0.012
128 0.031       0.024
256 0.067       0.048
512 0.132       0.094
1024 0.263      0.189
2048 0.526      0.378
4096 1.05       0.750
8192 2.13       1.50
16384 4.29      3.01
32768 8.59      6.02
65536 17.2      12.1
131072 34.6     24.0
262144 69.6     48.0
524288 140      96.7
1048576 279     193
2097152 549     390
4194304 1119    778
8388608 2194    1561
16777216 4496   3126
